run_id,seed,run,profile,arm,generated_frame_count,completed_frame_count,incomplete_frame_count,deadline_miss_count,all_generated_deadline_miss_rate,completed_frame_p99_us,deadline_censored_p99_us,deadline_censored_mean_us,sender_airtime_us,background_throughput_mbps,measured_secondary_airtime_us,action_count,max_deadline_miss_burst
6a04fa97372d4ca056a8,1251,1,af41_vi_all_vi,distributional_shadow_t2,1800,1799,1,1,0.0005555555555555556,12645.759999999998,12733.47,2945.8733333333334,4809347.0,25.63072,417364.4,186,1
a65f60793edb350949fd,1251,1,af41_vi_all_vi,score_aware_t2_v2,1800,1799,1,1,0.0005555555555555556,12639.88,12733.8,2950.141666666667,4749538.0,25.63072,367535.2,156,1
a87809440cab2c7bd2a5,1251,1,af41_vi_all_vi,str_mlo,1800,1794,6,6,0.0033333333333333335,13219.899999999963,14486.389999999994,2981.1344444444444,4332898.0,25.63008,0.0,0,2
46ad3dade0a8c04fa028,1251,1,af41_vi_be,distributional_shadow_t2,1800,1800,0,0,0.0,10782.5,10782.5,2530.0627777777777,4508618.0,26.85584,365632.8,184,0
1eb8b93e26b8794497b2,1251,1,af41_vi_be,score_aware_t2_v2,1800,1800,0,0,0.0,10805.049999999997,10805.049999999997,2532.5844444444447,4364412.0,26.85584,243516.8,122,0
770a30d7880e571b466f,1251,1,af41_vi_be,str_mlo,1800,1800,0,0,0.0,6874.899999999999,6874.899999999999,2358.021111111111,4145573.0,26.85536,0.0,0,0
be9d12deeaed3f1f203d,1251,1,af41_vi_one_vi_per_channel,distributional_shadow_t2,1800,1800,0,0,0.0,10095.909999999994,10095.909999999994,2507.3683333333333,4514015.0,26.85584,378903.6,185,0
e445472042e70da718bf,1251,1,af41_vi_one_vi_per_channel,score_aware_t2_v2,1800,1800,0,0,0.0,10109.769999999995,10109.769999999995,2507.4794444444447,4393275.0,26.85584,275153.2,139,0
dd877a477cd91d200adf,1251,1,af41_vi_one_vi_per_channel,str_mlo,1800,1800,0,0,0.0,6861.0599999999995,6861.0599999999995,2343.14,4120338.0,26.85552,0.0,0,0
1dfea030556af1c0abba,1251,1,be_be,distributional_shadow_t2,1800,1785,15,15,0.008333333333333333,22433.32000000001,29338.349999999995,4946.75,5840663.0,26.85584,428071.2,187,6
191781223b732d5f0a4a,1251,1,be_be,score_aware_t2_v2,1800,1779,21,21,0.011666666666666667,22466.32,33333.0,5110.4077777777775,5777604.0,26.85584,364632.0,149,6
690f9e524dd0cded6bc4,1251,1,be_be,str_mlo,1800,1777,23,23,0.012777777777777779,23461.440000000002,33333.0,4673.456111111111,4685060.0,26.85488,0.0,0,11
